timestamp,datetime,service/carts/qps(2xx),service/carts/latency,service/catalogue/qps(2xx),service/catalogue/latency,service/front-end/qps(2xx),service/front-end/latency,service/orders/qps(2xx),service/orders/latency,service/payment/qps(2xx),service/payment/latency,service/shipping/qps(2xx),service/shipping/latency,service/user/qps(2xx),service/user/latency
1586377800,2020-04-09 04:30:00,0,null,0,0.007776158500000463,3.333333333333333,0.002569756620000075,0,null,0,0.0023802914999997427,null,null,0,0.007731790999999988
1586377810,2020-04-09 04:30:10,0,null,0,0.007776158500000463,3.3333111118518266,0.004160960048060034,0,null,0,0.0023802914999997427,null,null,0,0.0032035609999999655
1586377820,2020-04-09 04:30:20,5.074823605231286,1.0821750114547375,0,0.007776158500000465,3.333311111851827,0.005468231742914142,0,null,0,0.0023802914999997427,null,null,0,0.003203560999999966
1586377830,2020-04-09 04:30:30,5.513727124237475,1.262906581667073,13.899536682110597,0.007926420715908539,3.333311111851827,0.007809080598052991,0,null,0,0.008395464499997729,null,null,0,0.003203560999999966
1586377840,2020-04-09 04:30:40,5.866862228740958,1.4115706851583933,13.899536682110597,0.007926420715908539,32.69276340494683,2.6680589670566928,0.3000066668888963,1.3171875534203694,0,0.008395464499997729,null,null,70.28490111111111,0.02122144800737362
1586377850,2020-04-09 04:30:50,55.218935555555554,1.219422495171995,13.899536682110597,0.007926420715908539,61.37027248358279,2.6017528712757363,0.3000066668888963,1.3171875534203694,0,0.008395464499997729,null,null,78.87379,0.018912509515083022
1586377860,2020-04-09 04:31:00,64.57449111111112,1.210879060683137,30.901030034334482,0.006654824856855313,96.27520808813998,2.40388194046968,1.6667644507411532,0.34703072395165124,8.066666666666666,0.0017069184197977942,null,null,85.76666666666667,0.017393733644660184
1586377870,2020-04-09 04:31:10,69.84824166666667,1.2747125662569088,30.901030034334482,0.006654824856855313,129.53662297595636,0.9368242423983063,9.278406120704226,0.21119316586150835,8.066666666666666,0.0017069184197977942,null,null,184.214515,0.025302671031006124
1586377880,2020-04-09 04:31:20,79.77105096496783,0.14722650739021212,30.901030034334482,0.006654824856855313,147.99210066192236,0.4615651342565383,11.949257186110112,0.2533663955816069,8.066666666666666,0.0017069184197977942,null,null,202.19388,0.02376058867927591
1586377890,2020-04-09 04:31:30,82.93761207959736,0.1428505856693126,35.234507816927234,0.006964347676164791,154.53611678682933,0.21337875063172984,15.593627365782563,0.22675889893446713,22.233333333333334,0.0018363980297072804,17.023896666666666,0.016472675442625855,205.16666666666666,0.023455459293811997
1586377900,2020-04-09 04:31:40,86.10417319422685,0.13759712241658348,35.234507816927234,0.006964347676164791,160.10594963559325,0.22757420791615868,21.279312889128853,0.24927780443711223,22.233333333333334,0.0018363980297072804,20.923896666666668,0.014429955796952415,234.2678844444444,0.03815892025688776
1586377910,2020-04-09 04:31:50,95.77214907163572,0.10330043681691316,35.234507816927234,0.006964347676164791,164.896982603272,0.22696533014101386,24.46054177464726,0.2946790838537375,22.233333333333334,0.0018363980297072804,23.4,0.012903030085470087,238.83333333333331,0.03789353421219291
1586377920,2020-04-09 04:32:00,96.8365612187073,0.10216497477280577,33.53333333333333,0.005598407221140306,168.03003351850734,0.19496639971214894,27.26472066353615,0.2754455522530446,31.166666666666668,0.0024037539123189316,31.866666666666667,0.006765096612970718,238.83333333333331,0.03789353421219291
1586377930,2020-04-09 04:32:10,96.8365612187073,0.10216497477280577,33.53333333333333,0.005598407221140306,175.5346968703432,0.14265087772546223,32.73424563263686,0.18701980099285032,31.166666666666668,0.0024037539123189316,31.866666666666667,0.006765096612970718,277.63333333333327,0.026916675922449
1586377940,2020-04-09 04:32:20,104.42985233825539,0.04251013754644182,33.53333333333333,0.005598407221140306,177.06549259507264,0.12920925582870454,33.30091229930353,0.11799261846896437,31.166666666666668,0.0024037539123189316,31.866666666666667,0.006765096612970718,277.6333333333333,0.026916675922449007
1586377950,2020-04-09 04:32:30,104.42985233825539,0.04251013754644182,33.56554781507283,0.005635094681727218,176.99882592840595,0.11746556129823205,34.23424563263687,0.11266964199112932,34.63333333333333,0.0023065129253016926,34.36666666666667,0.006149864820562565,277.6333333333333,0.026916675922449007
1586377960,2020-04-09 04:32:40,104.42985233825539,0.042510137546441805,33.56554781507283,0.005635094681727218,175.5329869819244,0.11673489294871196,34.43477373342456,0.11327173083708267,34.63333333333333,0.0023065129253016926,34.36666666666667,0.006149864820562565,281.4333333333333,0.02079166282297177
1586377970,2020-04-09 04:32:50,105.9227410592274,0.030443652805537926,33.56554781507283,0.005635094681727217,175.07136475765049,0.11807140484097918,35.668107066757884,0.12048101581781705,34.63333333333333,0.0023065129253016926,34.36666666666667,0.006149864820562565,281.43333333333334,0.020791662822971766
1586377980,2020-04-09 04:33:00,105.9227410592274,0.030443652805537926,35.267842261408724,0.0062468093556481245,175.8713647576505,0.11780757210810071,35.06810706675789,0.11985772283166479,35.333333333333336,0.004360438864070034,34.833333333333336,0.004710164660287074,281.43333333333334,0.020791662822971766
1586377990,2020-04-09 04:33:10,105.9227410592274,0.030443652805537926,35.267842261408724,0.0062468093556481245,178.001372427158,0.11652097782788119,35.39999001581481,0.11062782339135584,35.333333333333336,0.004360438864070034,34.833333333333336,0.004710164660287074,278.73333333333323,0.022358858068986315
1586378000,2020-04-09 04:33:20,104.30347678255943,0.03772379438222745,35.267842261408724,0.0062468093556481245,177.6988655933691,0.1165816893225208,34.9999900158148,0.10559606794331491,35.333333333333336,0.004360438864070034,34.833333333333336,0.004710164660287074,278.73333333333335,0.02235885806898631
